LAT,LON,SSID,TYPE
40.7359999997,-73.9903999999,unionsquarewifi,Partner Site
40.693,-74.0019,attwifi,Free
40.703,-74.0168,attwifi,Free
40.6915,-73.9755,attwifi,Free
40.6898,-73.9462,attwifi,Free
40.7016,-74.0149,attwifi,Free
40.7015,-73.9943,attwifi,Free
40.8285,-73.9227,attwifi,Free
40.8631,-73.9065,attwifi,Free
40.6509,-73.9683,attwifi,Free
40.7201,-73.9502,attwifi,Free
40.7729,-73.974,attwifi,Free
40.771,-73.9709,attwifi,Free
40.7721,-73.9771,attwifi,Free
40.768,-73.9712,attwifi,Free
40.8048,-73.9443,attwifi,Free
40.8292,-73.9361,attwifi,Free
40.8177,-73.8811,attwifi,Free
40.7474,-74.0051,attwifi,Free
40.589,-74.0667,attwifi,Free
40.7148,-74.0028,attwifi,Free
40.7265,-73.9817,attwifi,Free
40.7221,-73.8466,attwifi,Free
40.777,-73.9252,attwifi,Free
40.7931,-73.9354,attwifi,Free
40.7432,-73.8443,attwifi,Limited Free
40.6943,-73.9988,attwifi,Free
40.6173,-74.1063,attwifi,Free
40.822008,-73.953676,TransitWirelessWiFi,Free
40.814229,-73.94077,TransitWirelessWiFi,Free
40.807745,-73.945502,TransitWirelessWiFi,Free
40.807722,-73.96411,TransitWirelessWiFi,Free
40.779492,-73.955589,TransitWirelessWiFi,Free
40.805085,-73.954882,TransitWirelessWiFi,Free
40.798629,-73.941617,TransitWirelessWiFi,Free
40.826551,-73.95036,TransitWirelessWiFi,Free
40.804138,-73.937594,TransitWirelessWiFi,Free
40.813224,-73.929849,TransitWirelessWiFi,Free
40.810476,-73.926138,TransitWirelessWiFi,Free
40.817894,-73.947649,TransitWirelessWiFi,Free
40.81841,-73.926718,TransitWirelessWiFi,Free
40.818375,-73.927351,TransitWirelessWiFi,Free
40.811109,-73.952343,TransitWirelessWiFi,Free
40.737826,-74.000201,TransitWirelessWiFi,Free
40.740893,-74.00169,TransitWirelessWiFi,Free
40.737335,-73.996786,TransitWirelessWiFi,Free
40.820421,-73.936245,TransitWirelessWiFi,Free
40.74104,-73.997871,TransitWirelessWiFi,Free
40.744081,-73.995657,TransitWirelessWiFi,Free
40.745906,-73.998041,TransitWirelessWiFi,Free
40.741303,-73.989344,TransitWirelessWiFi,Free
40.742878,-73.992821,TransitWirelessWiFi,Free
40.738228,-73.996209,TransitWirelessWiFi,Free
40.82388,-73.93647,TransitWirelessWiFi,Free
40.824783,-73.944216,TransitWirelessWiFi,Free
40.718611,-73.988114,TransitWirelessWiFi,Free
40.777925,-73.951753,TransitWirelessWiFi,Free
40.768775,-73.958386,TransitWirelessWiFi,Free
40.759145,-73.95326,TransitWirelessWiFi,Free
40.76463,-73.966115,TransitWirelessWiFi,Free
40.784267,-73.947114,TransitWirelessWiFi,Free
40.71417,-73.999153,TransitWirelessWiFi,Free
40.710368,-74.009509,TransitWirelessWiFi,Free
40.710374,-74.007582,TransitWirelessWiFi,Free
40.7596,-73.83003,TransitWirelessWiFi,Free
40.713715,-73.990173,TransitWirelessWiFi,Free
40.812118,-73.904098,TransitWirelessWiFi,Free
40.808719,-73.907657,TransitWirelessWiFi,Free
40.865491,-73.927271,TransitWirelessWiFi,Free
40.718315,-73.987437,TransitWirelessWiFi,Free
40.805368,-73.914042,TransitWirelessWiFi,Free
40.830135,-73.938209,TransitWirelessWiFi,Free
40.799075,-73.951822,TransitWirelessWiFi,Free
40.800605,-73.958159,TransitWirelessWiFi,Free
40.803967,-73.966847,TransitWirelessWiFi,Free
40.77362,-73.959874,TransitWirelessWiFi,Free
40.768141,-73.96387,TransitWirelessWiFi,Free
40.855225,-73.929412,TransitWirelessWiFi,Free
40.859022,-73.93418,TransitWirelessWiFi,Free
40.851695,-73.937969,TransitWirelessWiFi,Free
40.847391,-73.939704,TransitWirelessWiFi,Free
40.836013,-73.939892,TransitWirelessWiFi,Free
40.710688,-74.011029,TransitWirelessWiFi,Free
40.79502,-73.94425,TransitWirelessWiFi,Free
40.834041,-73.94489,TransitWirelessWiFi,Free
40.830518,-73.941514,TransitWirelessWiFi,Free
40.802098,-73.949625,TransitWirelessWiFi,Free
40.726523,-73.852719,TransitWirelessWiFi,Free
40.796092,-73.961454,TransitWirelessWiFi,Free
40.7906,-73.947478,TransitWirelessWiFi,Free
40.768247,-73.981929,TransitWirelessWiFi,Free
40.768296,-73.981736,TransitWirelessWiFi,Free
40.760167,-73.975224,TransitWirelessWiFi,Free
40.764811,-73.973347,TransitWirelessWiFi,Free
40.753821,-73.981963,TransitWirelessWiFi,Free
40.77344,-73.982209,TransitWirelessWiFi,Free
40.778453,-73.98197,TransitWirelessWiFi,Free
40.775594,-73.97641,TransitWirelessWiFi,Free
40.783934,-73.979917,TransitWirelessWiFi,Free
40.762862,-73.981637,TransitWirelessWiFi,Free
40.739777,-74.002578,TransitWirelessWiFi,Free
40.781433,-73.972143,TransitWirelessWiFi,Free
40.788644,-73.976218,TransitWirelessWiFi,Free
40.785868,-73.968916,TransitWirelessWiFi,Free
40.791644,-73.964694,TransitWirelessWiFi,Free
40.764664,-73.980658,TransitWirelessWiFi,Free
40.763971,-73.977451,TransitWirelessWiFi,Free
40.761728,-73.983849,TransitWirelessWiFi,Free
40.749567,-73.98795,TransitWirelessWiFi,Free
40.710197,-74.007691,TransitWirelessWiFi,Free
40.739864,-73.986599,TransitWirelessWiFi,Free
40.747215,-73.993365,TransitWirelessWiFi,Free
40.745494,-73.988691,TransitWirelessWiFi,Free
40.74307,-73.984264,TransitWirelessWiFi,Free
40.746081,-73.982076,TransitWirelessWiFi,Free
40.755477,-73.987691,TransitWirelessWiFi,Free
40.762456,-73.985984,TransitWirelessWiFi,Free
40.749719,-73.987823,TransitWirelessWiFi,Free
40.754222,-73.984569,TransitWirelessWiFi,Free
40.85041,-73.905227,TransitWirelessWiFi,Free
40.757308,-73.989735,TransitWirelessWiFi,Free
40.758663,-73.981329,TransitWirelessWiFi,Free
